FileName,PathName,Size
datetestIDLE1.py,E:\Python_Work\datetestIDLE1.py,470
FileListing.py,E:\Python_Work\FileListing.py,606
get-pip.py,E:\Python_Work\get-pip.py,1642522
get_opt.py,E:\Python_Work\get_opt.py,611
get_opt1.py,E:\Python_Work\get_opt1.py,797
IGL_CP.py,E:\Python_Work\IGL_CP.py,844
ListTest.py,E:\Python_Work\ListTest.py,117
python_oracle_data.py,E:\Python_Work\python_oracle_data.py,351
python_oracle_insert.py,E:\Python_Work\python_oracle_insert.py,368
Shares.py,E:\Python_Work\Shares.py,1886
Suven_CP.py,E:\Python_Work\Suven_CP.py,1613
test.py,E:\Python_Work\test.py,110
Webpage.py,E:\Python_Work\Webpage.py,781
Work_order.py,E:\Python_Work\Work_order.py,1082
